nome,endereco,lat,lon,imagem,detalhes_url,mapa_url
Ivo Grill,"Rua Professor Tristão da Cunha, 183 | Belo Horizonte - MG",-19.8375071,-43.9475477,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15045738/ivogrill_kafajeste_bh_2025_mylenaizis_unibh-9216-scaled.jpg,https://comidadibuteco.com.br/buteco/ivo-grill/,"https://www.google.com/maps/search/?api=1&query= Rua Professor Tristão da Cunha, 183 | Belo Horizonte - MG"
Já To Inno,"Rua Benjamim Dias, 379 | Belo Horizonte - MG",-19.9783173,-44.01543729999999,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15045650/jatoinno_moderacao_bh_2025_fernandaoliveira_unibh-8097-scaled.jpg,https://comidadibuteco.com.br/buteco/3165-revision-v1/,"https://www.google.com/maps/search/?api=1&query=Rua Benjamim Dias, 379 | Belo Horizonte - MG"
Juzé Bar,"Rua Carlos Sá, 180 | Jardim Atlântico, Belo Horizonte - MG",-19.8431021,-43.9866191,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19153752/juze_abacaxedanoburacoquente_bh_2025_isaquerodrigues_unibh-8653-scaled.jpg,https://comidadibuteco.com.br/buteco/juze-bar/,"https://www.google.com/maps/search/?api=1&query=Rua Carlos Sá, 180 | Jardim Atlântico, Belo Horizonte - MG"
Köbes Emporium Bar,"Rua Professor Raimundo Nonato, 31 | Santa Tereza, Belo Horizonte - MG",-19.9102639,-43.91604460000001,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19153848/kobes_asasdaimaginacao_bh_2025_isaquerodrigues_unibh-7787-scaled.jpg,https://comidadibuteco.com.br/buteco/kobes-emporium-bar/,"https://www.google.com/maps/search/?api=1&query=Rua Professor Raimundo Nonato, 31 | Santa Tereza, Belo Horizonte - MG"
Koqueiros Bar,"Avenida Silviano Brandão, 1293 | Sagrada Família, Belo Horizonte - MG",-19.9111701,-43.9253915,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15045716/koqueiros_duvideimasamei_bh_2025_isaquerodrigues_unibh-7679-scaled.jpg,https://comidadibuteco.com.br/buteco/3169-revision-v1/,"https://www.google.com/maps/search/?api=1&query=Avenida Silviano Brandão, 1293 | Sagrada Família, Belo Horizonte - MG"
Lá Ele Bar,"Av. General Carlos Guedes, 165 | Planalto, Belo Horizonte - MG",-19.8390024,-43.94995369999999,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19154054/laele_peitimmoiado_bh_2025_rodneycosta_unibh-9100-scaled.jpg,https://comidadibuteco.com.br/buteco/la-ele-bar/,"https://www.google.com/maps/search/?api=1&query=Av. General Carlos Guedes, 165 | Planalto, Belo Horizonte - MG"
Leo da Quadra,"Rua Oliveira Lisboa, 107 | Barreiro, Belo Horizonte - MG",-19.9764724,-44.0132381,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19154147/leodaquadra_lembeosbeicos_bh_2025_rodneycosta_unibh-7632-scaled.jpg,https://comidadibuteco.com.br/buteco/leo-da-quadra/,"https://www.google.com/maps/search/?api=1&query=Rua Oliveira Lisboa, 107 | Barreiro, Belo Horizonte - MG"
Locomotiva’s Bar,"Rua Carmésia, 568 | Santa Inês, Belo Horizonte - MG",-19.8867198,-43.9082903,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15045235/locomotivasbar_cumpimembreagadoetrouxa_bh_2025_amandacantanhede_unibh-8315-scaled.jpg,https://comidadibuteco.com.br/buteco/locomotivas-bar-2/,"https://www.google.com/maps/search/?api=1&query=Rua Carmésia, 568 | Santa Inês, Belo Horizonte - MG"
Magnífico Quintal,"Rua Jefferson de Oliveira, 56 | Santa Amélia, Belo Horizonte - MG",-19.842697,-43.9745867,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15045339/magnifcoquinta_cocorico_bh_2025_isaquerodrigues_unibh-7756-scaled.jpg,https://comidadibuteco.com.br/buteco/magnifico-quintal/,"https://www.google.com/maps/search/?api=1&query=Rua Jefferson de Oliveira, 56 | Santa Amélia, Belo Horizonte - MG"
Magrelo’s Bar,"Avenida Serrana, 635 | Serrano, Belo Horizonte - MG",-19.880126,-44.0117667,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15045407/magrelos_amigosdopeito_bh_2025_isaquerodrigues_unibh-9303-scaled.jpg,https://comidadibuteco.com.br/buteco/magrelos-bar-2/,"https://www.google.com/maps/search/?api=1&query=Avenida Serrana, 635 | Serrano, Belo Horizonte - MG"
